zip,lat,lng,city,state_name
961,18.41011,-66.16538,Bayamon,Puerto Rico
962,18.43904,-66.13928,Catano,Puerto Rico
965,18.43385,-66.11486,Guaynabo,Puerto Rico
966,18.40226,-66.11757,Guaynabo,Puerto Rico
968,18.40617,-66.10127,Guaynabo,Puerto Rico
969,18.36751,-66.10852,Guaynabo,Puerto Rico
971,18.32131,-66.11811,Guaynabo,Puerto Rico
976,18.33844,-65.9921,Trujillo Alto,Puerto Rico
979,18.43649,-66.01699,Carolina,Puerto Rico
982,18.40992,-65.9917,Carolina,Puerto Rico
983,18.41804,-65.97632,Carolina,Puerto Rico
985,18.40825,-65.94842,Carolina,Puerto Rico
987,18.33935,-65.94313,Carolina,Puerto Rico
1001,42.06258,-72.6259,Agawam,Massachusetts
1002,42.37492,-72.4621,Amherst,Massachusetts
1003,42.39192,-72.52479,Amherst,Massachusetts
1005,42.42018,-72.10615,Barre,Massachusetts
1007,42.27875,-72.40036,Belchertown,Massachusetts
1008,42.18428,-72.95203,Blandford,Massachusetts
1009,42.20972,-72.33971,Bondsville,Massachusetts
1010,42.12863,-72.20624,Brimfield,Massachusetts
1011,42.29653,-72.95969,Chester,Massachusetts
1012,42.38698,-72.84632,Chesterfield,Massachusetts
1013,42.1595,-72.60824,Chicopee,Massachusetts
1020,42.17637,-72.56537,Chicopee,Massachusetts
1022,42.19731,-72.54267,Chicopee,Massachusetts
1026,42.4633,-72.92024,Cummington,Massachusetts
1027,42.29508,-72.74309,Easthampton,Massachusetts
1028,42.05968,-72.49908,East Longmeadow,Massachusetts
1029,42.19632,-73.04836,East Otis,Massachusetts
1030,42.06886,-72.67999,Feeding Hills,Massachusetts
1031,42.32933,-72.19822,Gilbertville,Massachusetts
1032,42.45029,-72.81301,Goshen,Massachusetts
1033,42.26081,-72.50363,Granby,Massachusetts
1034,42.08485,-72.95765,Granville,Massachusetts
1035,42.35564,-72.56921,Hadley,Massachusetts
1036,42.06369,-72.4159,Hampden,Massachusetts
1037,42.37011,-72.19772,Hardwick,Massachusetts
1038,42.3855,-72.60699,Hatfield,Massachusetts
1039,42.40629,-72.69362,Haydenville,Massachusetts
1040,42.21256,-72.64107,Holyoke,Massachusetts
1050,42.28784,-72.86986,Huntington,Massachusetts
1053,42.35348,-72.71161,Leeds,Massachusetts
1054,42.47363,-72.48746,Leverett,Massachusetts
1056,42.19212,-72.45804,Ludlow,Massachusetts
1057,42.09164,-72.32431,Monson,Massachusetts
1060,42.32228,-72.63129,Northampton,Massachusetts
1062,42.3219,-72.69279,Florence,Massachusetts
1063,42.3191,-72.63896,Northampton,Massachusetts
1066,42.40763,-72.65481,North Hatfield,Massachusetts
1068,42.35002,-72.04606,Oakham,Massachusetts
1069,42.18807,-72.30555,Palmer,Massachusetts
1070,42.51853,-72.92391,Plainfield,Massachusetts
1071,42.16035,-72.86,Russell,Massachusetts
1072,42.45737,-72.41841,Shutesbury,Massachusetts
1073,42.23083,-72.73857,Southampton,Massachusetts
1074,42.38661,-72.09427,South Barre,Massachusetts
1075,42.25674,-72.57923,South Hadley,Massachusetts
1077,42.05437,-72.77851,Southwick,Massachusetts
1079,42.19437,-72.33014,Thorndike,Massachusetts
1080,42.18206,-72.36564,Three Rivers,Massachusetts
1081,42.06234,-72.23094,Wales,Massachusetts
1082,42.2948,-72.27776,Ware,Massachusetts
1083,42.20382,-72.19496,Warren,Massachusetts
1084,42.39038,-72.88089,West Chesterfield,Massachusetts
1085,42.15371,-72.76958,Westfield,Massachusetts
1086,42.1304,-72.79397,Westfield,Massachusetts
1088,42.3901,-72.6478,West Hatfield,Massachusetts
1089,42.12534,-72.65027,West Springfield,Massachusetts
1092,42.19972,-72.23727,West Warren,Massachusetts
1093,42.43439,-72.65304,Whately,Massachusetts
1094,42.35945,-72.13847,Wheelwright,Massachusetts
1095,42.12763,-72.42994,Wilbraham,Massachusetts
1096,42.4042,-72.76817,Williamsburg,Massachusetts
1097,42.17603,-72.8313,Woronoco,Massachusetts
1098,42.3946,-72.94242,Worthington,Massachusetts
1103,42.104,-72.59204,Springfield,Massachusetts
1104,42.13403,-72.56681,Springfield,Massachusetts
1105,42.09916,-72.57898,Springfield,Massachusetts
1106,42.04791,-72.57176,Longmeadow,Massachusetts
1107,42.12129,-72.6055,Springfield,Massachusetts
1108,42.08055,-72.55983,Springfield,Massachusetts
1109,42.11837,-72.54875,Springfield,Massachusetts
1118,42.09476,-72.52534,Springfield,Massachusetts
1119,42.12455,-72.51122,Springfield,Massachusetts
1128,42.09488,-72.48814,Springfield,Massachusetts
1129,42.12099,-72.48774,Springfield,Massachusetts
1151,42.15294,-72.50877,Indian Orchard,Massachusetts
1199,42.12065,-72.6045,Springfield,Massachusetts
1201,42.44993,-73.27644,Pittsfield,Massachusetts
1220,42.62372,-73.11718,Adams,Massachusetts
1222,42.05898,-73.32078,Ashley Falls,Massachusetts
1223,42.31176,-73.0994,Becket,Massachusetts
1224,42.50662,-73.19746,Berkshire,Massachusetts
1225,42.56267,-73.15484,Cheshire,Massachusetts
1226,42.48168,-73.13992,Dalton,Massachusetts
1229,42.27799,-73.33204,Glendale,Massachusetts
1230,42.18476,-73.34368,Great Barrington,Massachusetts
1235,42.42975,-73.07241,Hinsdale,Massachusetts
1236,42.26658,-73.3767,Housatonic,Massachusetts
1237,42.54971,-73.26265,Lanesborough,Massachusetts
1238,42.29522,-73.22879,Lee,Massachusetts
1240,42.37208,-73.27646,Lenox,Massachusetts
1242,42.33328,-73.24921,Lenox Dale,Massachusetts
1243,42.35146,-73.02322,Middlefield,Massachusetts
1244,42.11608,-73.26271,Mill River,Massachusetts
1245,42.18818,-73.21891,Monterey,Massachusetts
1247,42.69546,-73.07996,North Adams,Massachusetts
1253,42.21187,-73.11616,Otis,Massachusetts
1254,42.37982,-73.36545,Richmond,Massachusetts
1255,42.10834,-73.1229,Sandisfield,Massachusetts
1256,42.59627,-73.01957,Savoy,Massachusetts
1257,42.09701,-73.36886,Sheffield,Massachusetts
1258,42.10257,-73.46175,South Egremont,Massachusetts
1259,42.07553,-73.23564,Southfield,Massachusetts
1260,42.29587,-73.34517,South Lee,Massachusetts
1262,42.29354,-73.31771,Stockbridge,Massachusetts
1264,42.23409,-73.19903,Tyringham,Massachusetts
1266,42.30802,-73.38405,West Stockbridge,Massachusetts
1267,42.67197,-73.23904,Williamstown,Massachusetts
1270,42.51492,-73.04125,Windsor,Massachusetts
1301,42.62406,-72.60401,Greenfield,Massachusetts
1330,42.51377,-72.81395,Ashfield,Massachusetts
1331,42.56728,-72.18293,Athol,Massachusetts
1337,42.69503,-72.57711,Bernardston,Massachusetts
1338,42.57358,-72.82134,Buckland,Massachusetts
1339,42.60801,-72.89006,Charlemont,Massachusetts
1340,42.68319,-72.71797,Colrain,Massachusetts
1341,42.50447,-72.70514,Conway,Massachusetts
1342,42.54451,-72.60591,Deerfield,Massachusetts
1343,42.65444,-72.9811,Drury,Massachusetts
1344,42.60777,-72.42882,Erving,Massachusetts
1346,42.68892,-72.817,Heath,Massachusetts
1347,42.56137,-72.51694,Lake Pleasant,Massachusetts
1349,42.57271,-72.48329,Millers Falls,Massachusetts
1350,42.72265,-72.98244,Monroe Bridge,Massachusetts
1351,42.54282,-72.51905,Montague,Massachusetts
1354,42.63366,-72.51108,Gill,Massachusetts
1355,42.45289,-72.33044,New Salem,Massachusetts
1360,42.67575,-72.44594,Northfield,Massachusetts
1364,42.61292,-72.29241,Orange,Massachusetts
1366,42.48054,-72.18777,Petersham,Massachusetts
